Reason,Category,Tight Cat
Unapproved Testing and Sampling,Untested,Untested
Unapproved Testing and Sampling,Lab Issue,Pesticides
unregistered and unlicensed THC concentrates,Prohibited Additives / Product,Untested
Unreliable test results,Lab Issue,Lab Issue
Unreliable test results,Lab Issue,Prohibited Additives / Product
Untested,Untested,Lab Issue
untested and contaminated,Mold,Lab Issue
untested and contaminated,Untested,Untested
"Untested, yeast and mold",Yeast and Mold,Mold
"Untested, yeast and mold",Mold,Untested
"Untested; Mold, Yeast, Aspergillus",Yeast and Mold,Yeast and Mold
"Untested; Mold, Yeast, Aspergillus",Aspergillus,Mold
Vaping Lung: Death,Other,Yeast and Mold
yeast and mold,Yeast and Mold,Aspergillus
yeast and mold and Aspergillus,Yeast and Mold,Other
yeast and mold and Aspergillus,Aspergillus,Yeast and Mold
Over-pressurization,Packaging,Yeast and Mold
Total Yeast and Mold,Mold,Aspergillus
Possible Adverse effects due to Corydalis rhizome,Adverse Health Events,Packaging
Total Yeast and Mold or Aspergillus,Yeast and Mold,Mold
Total Yeast and Mold or Aspergillus,Aspergillus,Adverse Health Events
Non-Compliant Packaging,Packaging,Yeast and Mold
Pesticide,Pesticides,Aspergillus
Mold ,Mold,Packaging
Not Properly Tested,Untested,Pesticides
Arsenic,Heavy Metal,Mold
Mercury,Heavy Metal,Untested
incorrect Packaging (not childproof),Packaging,Heavy Metal
Presence of Delta-8,Other,Heavy Metal
Physical Contamination,Other,Packaging
Outdated warning on labe,Mislabeled,Other
Total Yeast and Mold and Aspergillus,Aspergillus,Other
Total Yeast and Mold and Aspergillus,Yeast and Mold,Mislabeled
Total Yeast and Mold and Aspergillus,Mold,Aspergillus
Too much THC,Prohibited Additives / Product,Yeast and Mold
presence of banned chemical residue ,Other,Mold
"Mercury, Cadmium, Mold",Mercury,Prohibited Additives / Product
"Mercury, Cadmium, Mold",Cadmium,Other
"Mercury, Cadmium, Mold",Mold,Mercury
Myclobutanil,Pesticides,Cadmium
exceed allowable THC concentration limits,Inaccurate THC,Mold
"failed testing for the Category I pesticide, chlorfenapyr ",Pesticides,Pesticides
Pesticides: Spiromesifen,Pesticides,Inaccurate THC
presence of Aspergillus flavus.,Aspergillus,Pesticides
presence of Aspergillus sp.,Aspergillus,Pesticides
obstruction of the informational label ,Mislabeled,Aspergillus
presence of Aspergillus fumigatus,Aspergillus,Aspergillus
presence of Aspergillus niger,Aspergillus,Mislabeled
presence of Aspergillus terreus,Aspergillus,Aspergillus
inaccurate THC content labeling,Inaccurate THC,Aspergillus
"presence of Aspergillus niger and Aspergillus flavus, and due to inaccurate labeling, that reports more THC than the product contains. ","Multiple (Aspergillus, THC Inflation)",Aspergillus
"potential presence of Aspergillus flavus, and due to inaccurate labeling that reports more THC ","Multiple (Aspergillus, THC Inflation)",Inaccurate THC
inaccurate labeling that reports more cannabinoid content,Inaccurate THC,Multiple
 presence of Aspergillus spp. and due to inaccurate labeling that reports more cannabinoid content than the product contains.,"Multiple (Aspergillus, THC Inflation)",Multiple
"inaccurate labeling, that reports more cannabinoid content",Inaccurate THC,Inaccurate THC
"Aspergillus fumigatus, and due to inaccurate labeling","Multiple (Aspergillus, THC Inflation)",Multiple
packaging safety issues,Packaging,Inaccurate THC
"presence of Aspergillus niger, and due to inaccurate labeling","Multiple (Aspergillus, THC Inflation)",Multiple
presence of the pesticide chlorfenapyr,Pesticides,Packaging
Aspergillus sp.,Aspergillus,Multiple
Salmonella,Salmonella,Pesticides
Adulterated: Microbial Contamination (Aspergillus niger),Aspergillus,Aspergillus
Adulterated: Microbial Contamination (Aspergillus flavus),Aspergillus,Salmonella
Adulterated: Pesticide Category I Contamination (Chlorfenapyr),Pesticides,Aspergillus
Misbranded: Other,Attractive Label,Aspergillus
Adulterated: Pesticide Category I Contamination (Paclobutrazol),Pesticides,Pesticides
