Date,State,Doc Link,Type,ID,Company / Producer,Cultivator,,Product,Notes
4/1/2016,Colorado,https://sbg.colorado.gov/sites/sbg/files/Wanna%20LLC%2004012016_1_1.pdf,Mandatory,42461ColoradoWanna LLC,Wanna LLC,,,,
4/5/2016,Colorado,https://sbg.colorado.gov/sites/sbg/files/ACME%20Healing%20Center%20of%20Ridgway%20LLC%2004052016_1_1.pdf,Mandatory,42465ColoradoACME HEALING CENTER OF RIDGWAY LLC,ACME HEALING CENTER OF RIDGWAY LLC,,,,
4/7/2016,Colorado,https://sbg.colorado.gov/sites/sbg/files/Flower%20Power%20HSA%2004072016_1_1.pdf,Mandatory,42467ColoradoFlower Power Botanicals LLC,Flower Power Botanicals LLC,,,,
4/7/2016,Colorado,https://sbg.colorado.gov/sites/sbg/files/J%20and%20J%2004072016_1_1.pdf,Mandatory,42467ColoradoJ and J ENTERPRISES Inc,J and J ENTERPRISES Inc,,,,
4/21/2016,Colorado,https://sbg.colorado.gov/sites/sbg/files/Grow%20Life%20HSA%2004212016_1_1.pdf,Mandatory,42481ColoradoGrow Life LLC,Grow Life LLC,,,,
4/22/2016,Colorado,https://sbg.colorado.gov/sites/sbg/files/Medicine%20Man%20HSA%2004222016_1.pdf,Mandatory,42482ColoradoMedicine Man LLC,Medicine Man LLC,,,,
4/26/2016,Colorado,https://sbg.colorado.gov/sites/sbg/files/Kazimer%20HSA%20%2004162016_1_1.pdf,Mandatory,42486ColoradoKazimer LLC,Kazimer LLC,,,,
5/23/2016,Colorado,https://sbg.colorado.gov/sites/sbg/files/Best%20Budz%20HSA%2005232016_1_1.pdf,Mandatory,42513ColoradoBest Budz LLC.,Best Budz LLC.,,,,
5/23/2016,Colorado,https://sbg.colorado.gov/sites/sbg/files/Biomeds%20HSA%2005232016_1_1.pdf,Mandatory,42513ColoradoBiomeds LLC,Biomeds LLC,,,,
9/7/2016,Colorado,https://sbg.colorado.gov/sites/sbg/files/9.7.16%20AMOCH%20HSA_1.pdf,Mandatory,42620ColoradoAlternative Medicine on Capitol Hill,Alternative Medicine on Capitol Hill,,,,
9/7/2016,Colorado,https://sbg.colorado.gov/sites/sbg/files/9.7.16%20Green%20Naturals%20HSA_1.pdf,Mandatory,"42620ColoradoGreen Natural Solutions, Inc","Green Natural Solutions, Inc",,,,
9/13/2016,Colorado,https://sbg.colorado.gov/sites/sbg/files/9.13.16%20Southern%20Colorado%20HSA_1.pdf,Mandatory,"42626ColoradoSouthern Colorado Medical Marijuana, LLC","Southern Colorado Medical Marijuana, LLC",,,,
9/13/2016,Colorado,https://sbg.colorado.gov/sites/sbg/files/9.13.16%20The%20Tea%20Pot_1.pdf,Mandatory,"42626ColoradoThe Tea Pot, LLC.","The Tea Pot, LLC.",,,,
9/23/2016,Colorado,https://sbg.colorado.gov/sites/sbg/files/JVT%20Enterprises%20HSA%2009232016_1.pdf,Mandatory,42636ColoradoJVT Enterprises Inc. dba,JVT Enterprises Inc. dba,,,,
9/23/2016,Colorado,https://sbg.colorado.gov/sites/sbg/files/HSA%20Wash%20Park%20Boutique%20HSA%2009232016_1.pdf,Mandatory,42636ColoradoWash Park Boutique LLC,Wash Park Boutique LLC,,,,
10/19/2016,Colorado,https://drive.google.com/file/d/1VfVYuvXn63TWF1ZzeDR83DcrX1qkO9Yt/view?usp=sharing,Mandatory,"42662ColoradoGreen Meadows Wellness LLC,","Green Meadows Wellness LLC,",,,,
12/09/2016,Washington,https://lcb.wa.gov/marj/notice_of_recalls,Voluntary,42713WashingtonGrow Op Farms,Grow Op Farms,,,,
03/17/2017,Oregon,https://www.oregon.gov/olcc/Docs/news/news_releases/2017/nr_03_18_17_Emerald_Wave_recall.pdf,Mandatory,"42811OregonEmerald Wave Estate, LLC","Emerald Wave Estate, LLC",,,,
4/26/2017,Colorado,https://sbg.colorado.gov/sites/sbg/files/Herbal%20Options%20HSA%2004262017_1_1.pdf,Mandatory,"42851ColoradoHerbal Options, LLC","Herbal Options, LLC",,,,
4/26/2017,Colorado,https://sbg.colorado.gov/sites/sbg/files/Rocky%20Mtn%20Ways%20HSA%2004262017_1_1.pdf,Mandatory,"42851ColoradoRocky Mountain Ways, LLC","Rocky Mountain Ways, LLC",,,,
5/18/2017,Washington,https://lcb.wa.gov/marj/notice_of_recalls,Voluntary,42873WashingtonSpinning Heads,Spinning Heads,,,,
7/24/2017,Colorado,https://sbg.colorado.gov/sites/sbg/files/documents/7.19%20Kirke.pdf,Mandatory,42940ColoradoKirke LLC,Kirke LLC,,,,
7/24/2017,Colorado,https://sbg.colorado.gov/sites/sbg/files/documents/Metro%20Denver%20Telluride%20HSA%2007202017.pdf,Mandatory,42940ColoradoMetro Denver Telluride Health Center LLC,Metro Denver Telluride Health Center LLC,,,,
7/25/2017,Washington,https://lcb.wa.gov/marj/notice_of_recalls,Voluntary,42941WashingtonFreya Farms,Freya Farms,,,,
9/22/2017,Colorado,https://drive.google.com/file/d/1ujY1WAdeo6T8TUTehRd0N3O8ayw5eAsD/view?usp=sharing,Mandatory,43000ColoradoRK Enterprises LTD,RK Enterprises LTD,,,,
11/3/2017,Colorado,https://sbg.colorado.gov/sites/sbg/files/HSATree%20of%20Wellness%2011032017_2.pdf,Mandatory,43042ColoradoTree of Wellness INC,Tree of Wellness INC,,,,
11/17/2017,Colorado,https://sbg.colorado.gov/sites/sbg/files/HSA%20Citi-Med%2011172017_2.pdf,Mandatory,43056ColoradoCiti-Med LLC,Citi-Med LLC,,,,
11/22/2017,Colorado,https://sbg.colorado.gov/sites/sbg/files/HSA%20Pikes%20Peak%20Cannabis%20Caregivers%20for%20Life%20402-00123%20and%20403-01328_1.pdf,Mandatory,43061ColoradoPikes Peak Cannabis Caregivers LLC,Pikes Peak Cannabis Caregivers LLC,,,,
1/1/18,California,https://www.upi.com/Top_News/US/2018/12/24/California-marijuana-recall-threatens-state-cannabis-industry/3001545673498/,Mandatory,43101CaliforniaSequoia Analytical Labs,Sequoia Analytical Labs,,,,
1/24/2018,Colorado,https://sbg.colorado.gov/sites/sbg/files/01242018%20Bronner%20Corp%20HSA.pdf,Voluntary,43124ColoradoBronnor Corp,Bronnor Corp,,,,
